angle_past_threshold,angle_future_threshold,average_r_value,average_p_value,average_std_err,score,data_loss
245,70,0.8585637750681439,3.6997279308154877e-29,0.009973770848200067,0.5141408879560663,89.51486697965572
190,55,0.8588007392721881,2.1223898221056235e-23,0.011733645404283946,0.5141070790228844,86.2545644235785
220,25,0.8589374570624975,1.335863202862144e-12,0.014328417279404858,0.5139296325091572,84.924360980699
200,70,0.8584031659386281,3.2192443236655336e-29,0.011307766725002773,0.5139111228906765,87.94992175273866
235,75,0.857864225580917,7.262713268787993e-31,0.010290599480701752,0.51368947540048,89.33229003651539
225,70,0.8577800419590633,4.0529935965087464e-29,0.010587122560337248,0.5136093129194043,88.68022952529995
230,50,0.8578386802463911,1.787492683482489e-21,0.011189345896659922,0.5135842735581687,86.93270735524257
215,40,0.8578556782200021,4.012420375079378e-18,0.012054838282827584,0.5135079231037184,85.62858633281168
245,45,0.8574155731187039,9.490206321387557e-20,0.010940495233440215,0.5133552943478783,87.19353155972874
230,75,0.8573261035942403,5.674672999568111e-31,0.01052825585141059,0.5133428365714031,89.22796035472092
195,90,0.8573974880428706,1.2489864651145076e-36,0.0112393762098573,0.5133145552047367,89.358372456964
205,55,0.8566793136928522,1.7932442977508087e-23,0.011474798382614834,0.5128601083774499,86.64580073030777
195,45,0.8566663639392652,3.795714164489687e-20,0.011929203493327873,0.5128068980142263,85.36776212832551
190,50,0.8564732560694966,1.0244993073729417e-21,0.01179985926582771,0.5127039677151152,85.73291601460615
215,20,0.8562232694518427,1.815782781802745e-10,0.015401120240027199,0.5121938495926294,84.14188836724048
235,80,0.855149937601898,2.1069201207553632e-33,0.010223237794587838,0.5120676387816799,89.74960876369326
225,90,0.8546418720576023,1.08949812470057e-36,0.010361888703759382,0.5117489343641854,90.2190923317684
220,30,0.8550874336657741,2.5890449867672043e-14,0.013444564302586033,0.5117080037691981,85.28951486697966
240,70,0.8544362016768746,3.619116520386554e-29,0.01008798537750071,0.5116529224683747,89.25404277516954
230,80,0.8542862673511183,2.111195263089126e-33,0.010445020816653775,0.5115272583290056,89.64527908189879
210,50,0.8543263515388817,8.4239238216957635e-22,0.011727662202489674,0.51142304470308,86.33281168492437
220,20,0.8547299765217103,2.1873311508107655e-10,0.015667867338700694,0.5112711991135361,84.27230046948357
215,45,0.8535621700359797,2.1622743847056665e-20,0.01180760656795393,0.5109565413647924,86.07198748043818
190,75,0.8532418510135036,7.390416182625155e-31,0.011794217134812896,0.5107656888946208,88.21074595722483
195,95,0.8530966475729147,2.95166305986781e-38,0.011284266850208995,0.5107295618587279,89.72352634324466
235,85,0.852882208462454,5.440799351408076e-35,0.010152445004479059,0.5107140805770245,90.0886802295253
225,50,0.8529576252116998,1.7425718239026174e-21,0.011274998938345627,0.5106470752331853,86.67188315075639
205,60,0.8523744696313658,1.1923487004187012e-25,0.011143043608465972,0.5103103774179728,87.03703703703704
245,75,0.8517968424518364,6.009389862322596e-31,0.010063377729996352,0.5100717676981021,89.82785602503913
225,75,0.8518041618534048,7.408814319118229e-31,0.010597054222434305,0.5100227916897995,88.96713615023474
