angle_past_threshold,angle_future_threshold,average_r_value,average_p_value,average_std_err,score,data_loss
60,95,0.9907498546755997,2.919952191250564e-26,0.0128051298839292,0.5931693998169669,62.94930875576037
55,90,0.9908024707335107,9.221173369047062e-24,0.013488429036431236,0.5931326395364632,61.46118721461187
60,70,0.990929932995853,8.265830078985479e-26,0.014294371243198616,0.5931285226731919,60.9009009009009
45,80,0.9910854261079111,9.081992532754095e-20,0.015411922686360671,0.5931100633961106,59.37219730941704
50,85,0.990818897681192,1.3894127237552316e-21,0.014175468803082002,0.593073791728407,60.27149321266968
50,90,0.9906678570209518,1.4086655558404176e-21,0.01387911432899665,0.5930128027796715,60.63636363636363
45,90,0.9908363140039987,9.287002786276879e-20,0.01490238833962721,0.5930115495684365,59.90950226244344
45,85,0.990853998802549,9.16290061513209e-20,0.01522738433333845,0.5929896608481955,59.54954954954955
45,75,0.9908019374725178,1.310100060612527e-19,0.015793506453508344,0.5929018118381598,58.92857142857143
55,70,0.9906457370747993,1.7041330125419125e-23,0.014913328508152508,0.5928961093940643,59.82062780269059
45,95,0.9904790592178208,9.393018796698426e-20,0.01469638548083594,0.5928177969826088,60.18181818181818
55,95,0.9902188763465566,9.331738996972861e-24,0.013345579137938131,0.5927967678941402,61.74311926605505
50,70,0.9904018564867972,1.391924233725593e-21,0.015246259438626432,0.5927164879482157,58.92857142857143
50,95,0.9901147338342748,1.4251219291562754e-21,0.013705697363691576,0.5926982705641957,60.91324200913242
45,70,0.9878223846277764,1.317376640179616e-19,0.01613312852907321,0.5910801179237585,57.86666666666667
40,80,0.9873135704433058,3.967034920666776e-18,0.016629174612528132,0.5907252248047307,59.10714285714286
40,90,0.98710351703113,4.055583348889459e-18,0.016095349449857493,0.5906525752736922,59.63963963963964
40,85,0.9870927211786626,4.001986688449034e-18,0.016435161395654728,0.5906121165676321,59.28251121076234
40,95,0.9868367100752271,4.101357019732627e-18,0.01584657095860724,0.5905173689492755,59.90950226244344
35,90,0.9870234008504432,7.884382986050799e-17,0.017004271608994145,0.5905136133493664,58.9237668161435
35,85,0.9870142312716311,7.782433697519276e-17,0.01728114458730622,0.590480424304248,58.57142857142858
40,75,0.9868237835616006,4.975961223558321e-18,0.01696753707158893,0.5903975164298014,58.48888888888889
35,95,0.9867838935030414,7.971400331765305e-17,0.016786160303516227,0.5903917200714732,59.189189189189186
35,80,0.9867456980594655,1.7623359851031546e-16,0.01740352381717151,0.5903070664539622,58.13333333333334
20,75,0.987467239668395,2.2530157036892677e-10,0.02174929825734451,0.5903054139077121,55.54585152838428
30,90,0.9867330038668097,2.466922051610724e-14,0.01793884837242332,0.5902459174828361,58.214285714285715
30,95,0.9865162290307307,2.4935625721178878e-14,0.017768870319049845,0.5901328503865259,58.47533632286995
35,75,0.9864444037403169,1.7308021598438428e-16,0.017672013839727517,0.5900994408602174,57.52212389380531
20,80,0.9869919771646704,2.2753679009546447e-10,0.021535526545428067,0.5900416335759984,55.78947368421052
30,75,0.9863295572240867,3.9004653796548146e-14,0.018506830217056902,0.5899470513127346,56.91629955947136
25,75,0.9865246976645564,3.748812607034123e-12,0.019701038224388734,0.5899447147751703,56.05263157894736
30,85,0.9862510738145747,3.963729606994617e-14,0.018109210378390615,0.5899397232508938,57.599999999999994
30,80,0.9861148706344669,3.940747028681353e-14,0.01820539514541636,0.5898483828661267,57.16814159292035
25,95,0.9862128406507763,3.794558397482291e-12,0.01907772626015846,0.5898199317633115,57.58928571428571
20,85,0.986568441777151,2.2931711281532828e-10,0.02137652129497873,0.5898034128679975,55.947136563876654
25,80,0.9861484243943093,3.786602323150569e-12,0.019441652619407983,0.5897448893735088,56.29955947136563
20,90,0.9863605759152876,2.2829274239383363e-10,0.021178295730158985,0.5896985159076689,56.19469026548673
25,90,0.9859739706552835,3.8029086495789905e-12,0.01913100690642167,0.5896712817013869,56.97777777777778
20,95,0.9862589143213498,2.3002362757980864e-10,0.021142141441630572,0.5896411343796397,56.62222222222222
15,90,0.9866246692329789,1.6117035079603424e-08,0.023798251606023522,0.5895949715440745,55.06607929515418
25,85,0.9858298056617527,3.815537227726264e-12,0.01927993671479273,0.5895698897244277,56.46017699115045
15,95,0.9863695645479861,1.512923267722779e-08,0.023718786055954465,0.5894498555844264,55.309734513274336
10,80,0.9873914794634893,1.9206711929749694e-06,0.030214269785085804,0.589412884498227,53.04347826086957
10,75,0.987516351189229,1.8926802600546822e-06,0.03128141197398192,0.5893811017120612,52.38095238095239
20,70,0.9855158778294616,2.2011123133849683e-10,0.021981635047859268,0.5891113631268575,54.69565217391305
15,75,0.9860959821756269,1.6666171010873895e-08,0.02598630547506349,0.5890589537580185,54.17391304347826
15,80,0.9856814138865023,1.6764915661005633e-08,0.02487589581251244,0.5889212537211753,54.58515283842795
25,70,0.9845447897283666,3.6611210735351846e-12,0.019914844704215888,0.5887353893655,55.19650655021834
35,70,0.9842035461230613,1.692026961656466e-16,0.017971538936443803,0.5887249737801923,56.74008810572687
40,70,0.9840416832299431,4.82136851113534e-18,0.01729778644421263,0.5886952312935446,57.34513274336284
30,70,0.9841576873051144,3.807041063404637e-14,0.01875995414470081,0.5886186169685872,56.05263157894736
15,85,0.9850635133958578,1.6903392629303838e-08,0.024793971975150125,0.5885587057689818,54.736842105263165
10,85,0.9850409845131077,2.129104476061954e-06,0.03014792494934825,0.5880091594815869,53.187772925764186
75,65,0.9821642464650884,1.0095843091408349e-26,0.013266971616213472,0.5879718507174316,62.81818181818182
10,70,0.9853195695767478,1.7635522576862888e-06,0.03293008440285557,0.5878982042400859,50.86206896551724
15,70,0.9839979455717265,1.6143285026538905e-08,0.02671620061159285,0.5877271424388911,52.900432900432904
10,90,0.9842750643750203,3.1485976473770536e-06,0.030081802075989234,0.587555913838119,53.421052631578945
10,95,0.9838895273471276,2.982900535665e-06,0.0300617519451186,0.587326646343604,53.65638766519824
95,65,0.9795070731920149,2.8095229028467895e-27,0.011466743818424012,0.5865575695333666,65.18518518518519
50,65,0.9795009908764999,1.3471422623514487e-21,0.01567474338366546,0.5861331201875334,57.51111111111111
90,65,0.9772648911216787,7.274204668528552e-27,0.011814951161443847,0.5851774395568627,64.60829493087557
85,65,0.9773282597862757,1.0174507098467597e-26,0.012237179499901293,0.5851732379217753,64.03669724770641
80,65,0.9773365841558002,1.0578452929134942e-26,0.012752709173925592,0.5851266795760875,63.37899543378995
